,addr1,addr2,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,title,zipcode,tel
1131,제주특별자치도 서귀포시 칠십리로214번길 30,(동홍동),39,A02,A0206,A02060500,2606690,14,20190614153056,http://tong.visitkorea.or.kr/cms/resource/79/2368479_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/79/2368479_image3_1.jpg,126.5736773135,33.2453287076,6,20190802145137,0,3,왈종미술관,63597,
1132,경기도 남양주시 조안면 북한강로 856-37,,31,A02,A0206,A02060100,130876,14,20061116000000,,,127.3382819922,37.5917855978,6,20180717135407,33295,9,왈츠와 닥터만 커피박물관,12278,
1133,서울특별시 서초구 남부순환로 2558,(서초동),1,A02,A0206,A02060100,130156,14,20071106014445,http://tong.visitkorea.or.kr/cms/resource/96/682196_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/682196_image3_1.jpg,127.0294576565,37.4821510730,6,20180913160001,20454,15,외교사료관,06750,
1134,울산광역시 중구 병영12길 15,(동동),7,A02,A0206,A02060200,1624470,14,20120507184051,http://tong.visitkorea.or.kr/cms/resource/93/1588293_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/1588293_image3_1.jpg,129.3475161286,35.5746451139,6,20181030130839,19897,1,외솔 최현배선생 생가 기념관,44486,
1135,부산광역시 금정구 팔송로 60-6,(남산동),6,A02,A0206,A02060200,1940880,14,20140812163944,,,129.0857918242,35.2723686113,6,20190801100317,3780,2,요산문학관,46217,
1136,서울특별시 용산구 이태원로 274,(한남동),1,A02,A0206,A02060300,2560227,14,20180911113636,http://tong.visitkorea.or.kr/cms/resource/09/2560209_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/2560209_image2_1.jpg,127.0020474325,37.5390162000,6,20191011162851,1111,21,용산공예관,04399,
1137,서울특별시 용산구 효창원로8길 28,(원효로4가),1,A02,A0206,A02060700,130372,14,20071106015446,http://tong.visitkorea.or.kr/cms/resource/84/1865284_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/1865284_image3_1.jpg,126.9521854653,37.5334548409,6,20181030135131,17775,21,용산문화원,04360,
1138,경기도 용인시 처인구 원삼면 농촌파크로 80-1,,31,A02,A0206,A02060100,2629751,14,20191023162822,,,127.2971504758,37.1710946935,6,20191023162822,0,23,용인 농경문화전시관,17167,
1139,경기도 용인시 수지구 포은대로 499,(죽전동),31,A02,A0206,A02060600,1753401,14,20121116143213,,,127.1063884058,37.3258261380,6,20191203170747,27642,23,용인 포은아트홀,16870,
1140,경기도 용인시 처인구 중부대로 1199,(삼가동),31,A02,A0206,A02060700,129869,14,20071106013343,http://tong.visitkorea.or.kr/cms/resource/46/1785846_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/46/1785846_image3_1.jpg,127.1774732269,37.2412455395,6,20180702154940,16424,23,용인문화원,17019,
1141,경기도 용인시 처인구 중부대로1392번길 15,(김량장동),31,A02,A0206,A02060600,1753474,14,20121116153126,,,127.1988493347,37.2317414683,6,20191203170201,20123,23,용인시문예회관,17062,
1142,경기도 용인시 수지구 문정로7번길 15,(풍덕천동),31,A02,A0206,A02060600,1753495,14,20121116154849,,,127.0954673239,37.3205265560,6,20191203164556,20412,23,용인시여성회관,16841,
1143,전라남도 영광군 영광읍 물무로1길 11,,38,A02,A0206,A02061100,130116,14,20070914000000,http://tong.visitkorea.or.kr/cms/resource/26/1971126_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/26/1971126_image3_1.jpg,126.5050742370,35.2785947225,6,20180109164501,20740,16,우도농악전수관,57036,
1144,충청북도 충주시 중원대로 3324,(호암동),33,A02,A0206,A02060600,1689977,14,20120810114248,,,127.9255691356,36.9648743632,6,20180907140157,15835,11,우륵당,27411,
1145,경상북도 고령군 대가야읍 가야금길 98,,35,A02,A0206,A02060100,1059119,14,20100713145208,http://tong.visitkorea.or.kr/cms/resource/19/1004419_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/1004419_image3_1.jpg,128.2637954237,35.7423394798,6,20180907133458,27186,3,우륵박물관,40132,
1146,서울특별시 송파구 올림픽로 424,(방이동),1,A02,A0206,A02060600,1751182,14,20121113104317,http://tong.visitkorea.or.kr/cms/resource/99/2031399_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/99/2031399_image3_1.jpg,127.1243145673,37.5218287295,6,20191203173824,24732,18,우리금융아트홀,05540,
1147,서울특별시 성북구 대사관로13길 66,(성북동),1,A02,A0206,A02060100,2372228,14,20160309173349,http://tong.visitkorea.or.kr/cms/resource/27/2372227_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/2372227_image2_1.jpg,126.9902967438,37.6011059950,6,20191030150125,6041,17,우리옛돌박물관,02822,
1148,서울특별시 서대문구 신촌로 129,(창천동) 아트레온,1,A02,A0206,A02060100,2553390,14,20180711142334,http://tong.visitkorea.or.kr/cms/resource/78/2553378_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/2553378_image2_1.jpg,126.9402747878,37.5565241692,6,20191015135819,311,14,우석뮤지엄,03780,
1149,경기도 남양주시 진접읍 금강로 1095,,31,A02,A0206,A02060100,130710,14,20060103000000,http://tong.visitkorea.or.kr/cms/resource/81/700781_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/81/700781_image3_1.jpg,127.1610061937,37.6978978201,6,20180111173455,27005,9,우석헌자연사박물관,12074,
1150,대전광역시 동구 동대전로 171,(자양동),3,A02,A0206,A02060600,130258,14,20071106014917,http://tong.visitkorea.or.kr/cms/resource/70/1585570_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/70/1585570_image3_1.jpg,127.4459073694,36.3378320366,6,20181227132503,34465,2,우송예술회관,34606,
1151,경상북도 경주시 보문로 484-7,(신평동),35,A02,A0206,A02060500,130509,14,20040518000000,http://tong.visitkorea.or.kr/cms/resource/79/2551279_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/79/2551279_image2_1.jpg,129.2859611482,35.8416444278,6,20190322133111,26192,2,우양미술관,38117,
1152,부산광역시 동래구 우장춘로62번길 7,(온천동),6,A02,A0206,A02060200,1608725,14,20120420150204,,,129.0720279747,35.2135249530,6,20180129173053,23995,6,우장춘기념관,47720,
1153,광주광역시 동구 의재로 140-6,(운림동),5,A02,A0206,A02060500,130639,14,20050630000000,http://tong.visitkorea.or.kr/cms/resource/64/1944864_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/1944864_image3_1.jpg,126.9430502112,35.1317742306,6,20180711132103,22817,3,우제길미술관,61494,
1154,경상남도 창녕군 유어면 우포늪길 220,,36,A02,A0206,A02060300,661980,14,20081204144605,http://tong.visitkorea.or.kr/cms/resource/68/657068_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/68/657068_image3_1.jpg,128.4182316644,35.5445368581,6,20191001155831,33086,15,우포늪생태관,50304,
1155,서울특별시 중구 소공로 70,(충무로1가),1,A02,A0206,A02060100,660640,14,20081201174158,http://tong.visitkorea.or.kr/cms/resource/16/767716_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/16/767716_image3_1.jpg,126.9821486070,37.5615687782,6,20191001160033,25530,24,우표박물관 (구.우표문화누리),04535,
1156,경상북도 문경시 가은읍 대야로 1683,,35,A02,A0206,A02060200,229911,14,20070306000000,http://tong.visitkorea.or.kr/cms/resource/00/1893600_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/1893600_image3_1.jpg,127.9961155909,36.6718815171,6,20191111164403,17272,7,운강 이강년기념관,36993,
1157,충청북도 청주시 청원구 내수읍 형동2길 92-41,,33,A02,A0206,A02060500,130080,14,20071106014117,http://tong.visitkorea.or.kr/cms/resource/23/1989223_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/1989223_image3_1.jpg,127.5650536346,36.6919213789,6,20181018111711,29573,10,운보의 집,28149,
1158,경상북도 울릉군 울릉읍 약수터길 48,,35,A02,A0206,A02060700,130009,14,20071106013833,,,130.9021325343,37.4834844786,6,20180131113628,15063,17,울릉문화원,40225,
1159,경상북도 울릉군 울릉읍 울릉순환로 286,,35,A02,A0206,A02060600,1755827,14,20121121172517,,,130.9031431961,37.4944388017,6,20191128164140,17001,17,울릉한마음회관,40217,
1160,울산광역시 남구 번영로 224,(달동),7,A02,A0206,A02060700,130396,14,20071106015529,http://tong.visitkorea.or.kr/cms/resource/80/1587980_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/80/1587980_image3_1.jpg,129.3255744272,35.5452785581,6,20180220164932,19102,2,울산 남구문화원,44702,
1161,울산광역시 동구 화진6길 4,(화정동),7,A02,A0206,A02060700,130397,14,20071106015531,http://tong.visitkorea.or.kr/cms/resource/94/1355094_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/1355094_image3_1.jpg,129.4245894702,35.4937584357,6,20180731154956,18768,3,울산 동구문화원,44081,
1162,울산광역시 울주군 온양읍 외고산3길 36,,7,A02,A0206,A02060100,2606641,14,20190614145153,,,129.2795176492,35.4350595214,6,20191211113808,0,5,울산 옹기박물관,44970,
1163,울산광역시 남구 거마로13번길 6,(옥동),7,A02,A0206,A02060900,129813,14,20071106013135,,,129.2950218004,35.5359345895,6,20180705133933,25912,2,울산남부도서관,44648,
1164,울산광역시 울주군 두동면 서하천전로 257,,7,A02,A0206,A02060100,1284446,14,20110523152316,,,129.1691415653,35.6191478641,6,20180320164450,35369,5,울산대곡박물관,44913,
1165,울산광역시 동구 봉수로 505,(서부동),7,A02,A0206,A02060900,130519,14,20041006000000,,,129.4250884527,35.5282379059,6,20180316144318,24353,3,울산동부도서관,44018,
1166,울산광역시 남구 번영로 200,(달동),7,A02,A0206,A02060600,130524,14,20041011000000,http://tong.visitkorea.or.kr/cms/resource/77/1587977_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/1587977_image3_1.jpg,129.3271521316,35.5429649590,6,20180920145711,27866,2,울산문화예술회관,44702,
1167,울산광역시 남구 두왕로 277,(신정동),7,A02,A0206,A02060100,1556541,14,20120220165510,,,129.3087097418,35.5271580556,6,20181030111945,19195,2,울산박물관,44668,
1168,울산광역시 북구 산업로 1000,(연암동),7,A02,A0206,A02060600,130522,14,20041008000000,,,129.3614369457,35.5813751751,6,20181227163432,30095,4,울산북구문화예술회관,44248,
1169,울산광역시 북구 산업로 1104,(송정동),7,A02,A0206,A02060700,130517,14,20041006000000,http://tong.visitkorea.or.kr/cms/resource/23/1899623_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/1899623_image3_1.jpg,129.3574702442,35.5948569176,6,20180801104612,18530,4,울산북구문화원,44238,
1170,울산광역시 울주군 두동면 반구대안길 254,,7,A02,A0206,A02060100,634337,14,20081009093858,http://tong.visitkorea.or.kr/cms/resource/46/2364246_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/46/2364246_image3_1.jpg,129.1703973178,35.6082213400,6,20191001161915,28673,5,울산암각화박물관,44913,
1171,울산광역시 울주군 언양읍 언양로 109,,7,A02,A0206,A02060900,130520,14,20041006000000,http://tong.visitkorea.or.kr/cms/resource/50/2552650_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/2552650_image2_1.jpg,129.1377460121,35.5584568854,6,20180704152215,19186,5,울산울주도서관,44940,
1172,울산광역시 울주군 서생면 해맞이로 1251,,7,A02,A0206,A02060100,1936811,14,20140724174035,http://tong.visitkorea.or.kr/cms/resource/86/1783486_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/1783486_image3_1.jpg,129.3546992653,35.3616830536,6,20191113175437,4474,5,울산해양박물관,45015,
1173,울산광역시 울주군 범서읍 천상중앙길 36,(범서읍),7,A02,A0206,A02060600,1747340,14,20121102104807,,,129.2322042662,35.5641968974,6,20191205164419,19870,5,울주문화예술회관,44927,
1174,울산광역시 울주군 온양읍 외고산1길 4-19,,7,A02,A0206,A02060700,130394,14,20071106015526,http://tong.visitkorea.or.kr/cms/resource/98/1899498_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/98/1899498_image3_1.jpg,129.2810147062,35.4362955209,6,20181029160117,18109,5,울주문화원,44970,
1175,경상북도 울진군 울진읍 현내항길 92-9,,35,A02,A0206,A02060700,130017,14,20071106013848,http://tong.visitkorea.or.kr/cms/resource/15/1980115_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/1980115_image3_1.jpg,129.4082581766,36.9909939537,6,20180802145059,16329,18,울진문화원,36325,
1176,대구광역시 달서구 문화회관길 160,(장기동),4,A02,A0206,A02060600,1756217,14,20121122152651,,,128.5229809055,35.8435133161,6,20191128163306,29664,2,웃는얼굴아트센터,42699,
1177,전라북도 익산시 익산대로 460,(신동),37,A02,A0206,A02060100,130039,14,20071106013934,http://tong.visitkorea.or.kr/cms/resource/36/1308336_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/36/1308336_image3_1.jpg,126.9557276866,35.9678184770,6,20181226101353,23384,9,원광대학교 박물관,54538,
1178,전라북도 익산시 익산대로 501,(신용동),37,A02,A0206,A02060100,1582354,14,20120328110146,,,126.9516167691,35.9744537602,6,20180713143545,15997,9,원불교역사박물관,54536,
1179,강원도 원주시 일산로 72,(원동),32,A02,A0206,A02060700,129941,14,20071106013622,http://tong.visitkorea.or.kr/cms/resource/69/1812969_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/69/1812969_image3_1.jpg,127.9503559068,37.3456253781,6,20190508145805,16138,9,원주문화원,26432,
1180,강원도 원주시 서원대로 472-12,(단구동),32,A02,A0206,A02060900,2556193,14,20180803101050,http://tong.visitkorea.or.kr/cms/resource/87/2556187_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/87/2556187_image2_1.jpg,127.9538339271,37.3265443133,6,20191011164548,1019,9,원주시립중앙도서관,26487,
1181,강원도 원주시 봉산로 134,(봉산동),32,A02,A0206,A02060100,130330,14,20071106015243,http://tong.visitkorea.or.kr/cms/resource/27/194827_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/194827_image3_1.jpg,127.9671766921,37.3428648986,6,20180518154743,25299,9,원주역사박물관,26331,
1182,강원도 평창군 진부면 오대산로 176,,32,A02,A0206,A02060100,2563078,14,20181015151056,http://tong.visitkorea.or.kr/cms/resource/98/2562798_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/98/2562798_image2_1.JPG,128.6029303306,37.7188584582,6,20191211170927,652,15,월정사 성보박물관(평창),25318,
1183,서울특별시 광진구 능동로 120,(화양동) 새천년관 B2,1,A02,A0206,A02060600,130259,14,20071106014921,http://tong.visitkorea.or.kr/cms/resource/53/1504753_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/53/1504753_image3_1.jpg,127.0763072274,37.5428781974,6,20181030130937,37654,6,위니아트(건국대학교 새천년관 대공연장),05029,
1184,전라북도 부안군 위도면 대장길 15-15,,37,A02,A0206,A02061100,130046,14,20071106013949,http://tong.visitkorea.or.kr/cms/resource/78/2387478_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/2387478_image2_1.jpg,126.2651992808,35.5776873355,6,20180126091924,15858,6,위도띠뱃놀이 전수관,56349,
